hand,small blind,big blind,under the gun,under the gun +1,under the gun +2,lojack,hijack,cutoff,button
73,f,f,f,f,f,f,f,f,f
72,f,f,f,f,f,f,f,f,f
65s,r,r,f,f,f,f,r,r,r
64s,r,r,f,f,f,f,f,f,r
63s,r,r,f,f,f,f,f,f,f
62s,f,f,f,f,f,f,f,f,f
65,f,f,f,f,f,f,f,f,f
64,f,f,f,f,f,f,f,f,f
63,f,f,f,f,f,f,f,f,f
62,f,f,f,f,f,f,f,f,f
54s,r,r,f,f,f,f,f,r,r
53s,r,r,f,f,f,f,f,f,f
52s,f,f,f,f,f,f,f,f,f
54,f,f,f,f,f,f,f,f,f
53,f,f,f,f,f,f,f,f,f
52,f,f,f,f,f,f,f,f,f
43s,r,r,f,f,f,f,f,f,r
42s,f,f,f,f,f,f,f,f,f
43,f,f,f,f,f,f,f,f,f
42,f,f,f,f,f,f,f,f,f
32s,r,r,f,f,f,f,f,f,f
32,f,f,f,f,f,f,f,f,f
